PUMFID,LM_50A,LM_50B,LM_55,LM_60A,LM_60B,LM_60C,LM_60D,LM_60E,LM_60F,LM_60G,LM_60H,LM_65A,LM_65B,LM_65C,LM_65D,LM_65E,LM_75A,LM_75B,LM_75C,LM_75D,LM_75E,LM_75F,LM_75G,LM_75H,ER_05A,ER_05B,ER_05C,ER_05D,ER_05E,ER_05F,ER_05G,ER_05H,ER_05I,ER_05J,ER_05K,ER_05L,ER_05M,ER_05N,ER_10,HR_05A,HR_05B,HR_05C,HR_05D,HR_05E,HR_10,HR_15A,HR_15B,HR_15C,HR_15D,HR_15E,HR_15F,HR_15G,HR_15H,HR_15I,HR_15J,HR_20A,HR_20B,HR_20C,HR_20D,HR_20E,HR_20F,HR_20G,HR_20H,HR_20I,HR_25A,HR_25B,HR_25C,HR_30A,HR_30B,HR_30C,HR_30D,HR_30E,HR_30F,HR_30G,HR_30H,HR_35,HR_Q25BC,FCR_05,FCR_15,FCR_20,FCR_10A,FCR_10B,FCR_10C,FCR_10D,FCR_10E,FCR_10F,FCR_10G,FCR_10H,FCR_10I,FCR_10J,FCR_10K,CT_05,PCT_10,CT_15A,CT_15B,CT_15C,CT_15D,CT_15E,CT_15F,PTC_05A,PTC_05B,PTC_05C,PTC_05D,PTC_05E,PTC_05F,PTC_05G,PTC_05H,PTC_05I,PTC_05J,PTC_05K,PTC_05L,PTC_05M,PTC_10,PTC_15A,PTC15BC,PTC_15E,PTC_15F,PTC_15G,PTC15DHI,PFW_05A,PFW_05B,PFW_05C,PFW_05D,PFW_05E,PFW_05F,PFW_05G,RURURB,SEX,PTELEWSC,MARSTATC,IMMIGRNC,PCHILD,HHLDSIZC,AGEGRP,PDWELCDC,PEDUC_LC,PEMPSTC,PERS_WGT,VERDATE
6032,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,2,2,3,2,3,3,3,3,3,2,4,2,4,2,1,1,2,2,2,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,1,1,2,2,1,2,2,2,.a,.b,.a,.a,.a,.a,.a,.a,.a,.a,3,.b,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,8,8,.a,.a,.a,.a,.a,.a,3,3,3,3,4,4,4,3,4,3,3,3,4,2,.a,.a,.a,.a,.a,.a,5,5,2,5,1,3,5,2,2,.d,3,1,0,1,6,2,2,4,5655.9172,16/07/2020
6033,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,2,1,4,1,3,1,3,2,3,1,4,1,3,2,1,1,2,2,2,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,1,1,1,1,1,2,2,2,.a,1,.a,.a,.a,.a,.a,.a,.a,.a,6,1,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,5,7,2,2,2,1,2,2,2,2,2,3,3,3,1,2,4,1,2,2,2,1,2,1,1,2,2,1,5,5,4,4,3,2,3,2,2,2,4,2,0,2,2,3,7,1,20448.3936,16/07/2020
6034,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,3,3,3,3,3,3,3,1,3,3,3,3,3,2,1,1,2,2,2,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,2,1,2,1,2,1,2,2,3,.a,.a,2,2,2,2,2,2,2,1,8,.a,1,2,3,3,1,1,3,2,3,5,5,5,5,5,3,3,.a,.a,.a,.a,.a,.a,2,1,1,2,2,2,1,2,3,2,2,2,2,2,.a,.a,.a,.a,.a,.a,5,5,2,3,2,2,2,2,2,3,2,1,0,2,2,2,6,1,9266.2433,16/07/2020
6035,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,2,3,3,3,3,3,3,1,3,3,4,3,4,2,2,2,2,2,1,4,2,2,1,2,1,2,2,2,2,2,2,1,1,1,2,2,1,2,2,4,.a,.a,2,2,2,2,1,2,2,2,10,.a,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,3,.a,.a,.a,.a,.a,.a,2,1,1,2,2,2,1,4,4,3,2,2,4,2,.a,.a,.a,.a,.a,.a,5,5,1,5,5,1,5,2,1,3,4,1,0,2,5,1,3,1,2211.1235,16/07/2020
6036,1,.a,1,2,1,1,2,1,2,2,2,.a,.a,.a,.a,.a,2,3,1,2,2,2,1,2,2,3,3,3,2,3,3,2,1,3,3,1,1,3,2,1,1,2,2,2,4,2,1,1,2,1,2,2,2,2,2,1,2,1,1,2,2,1,2,2,4,.a,.a,2,2,2,1,1,2,2,2,9,.a,1,3,3,1,3,1,3,1,2,1,3,5,1,5,3,3,.a,.a,.a,.a,.a,.a,1,1,1,2,2,3,1,2,3,2,2,1,1,2,.a,.a,.a,.a,.a,.a,2,5,2,2,2,2,2,1,1,.d,1,1,1,2,2,1,4,.d,7029.243,16/07/2020
6037,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,1,4,4,1,2,3,2,3,2,4,1,1,2,2,.b,1,2,2,2,2,3,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,3,.a,.a,2,2,1,2,2,2,2,2,5,.a,1,4,2,3,3,2,3,1,3,3,3,4,3,3,3,3,.a,.a,.a,.a,.a,.a,2,2,2,2,1,3,4,2,1,2,3,2,2,2,.a,.a,.a,.a,.a,.a,3,1,2,5,2,2,2,2,1,.d,1,2,1,3,3,4,1,1,9351.0672,16/07/2020
6038,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,3,1,1,3,1,3,1,3,1,4,3,3,2,1,1,1,1,2,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,1,2,2,1,1,1,2,.b,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,8,.a,1,4,3,2,2,3,2,2,1,5,5,5,5,5,8,8,.a,.a,.a,.a,.a,.a,2,3,2,3,2,2,1,2,4,2,1,2,3,1,2,2,1,1,2,1,5,5,3,3,4,3,2,2,1,.d,1,1,0,3,5,1,6,4,4911.8098,16/07/2020
6039,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,3,3,3,3,3,3,3,2,2,2,4,3,4,2,2,1,2,2,2,4,2,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2,2,2,.a,1,.a,.a,.a,.a,.a,.a,.a,.a,8,1,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,3,.a,.a,.a,.a,.a,.a,2,2,2,2,2,3,1,2,3,3,2,2,2,2,.a,.a,.a,.a,.a,.a,5,1,2,3,2,2,2,2,1,3,3,1,0,1,4,1,4,1,864.8194,16/07/2020
6040,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,2,2,3,2,3,3,3,3,3,2,4,3,1,2,2,2,1,2,2,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,1,1,1,2,1,2,2,1,.b,.a,.a,.a,.a,.a,.a,.a,.a,.a,8,.b,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,7,2,1,2,1,2,2,2,2,2,3,3,3,1,2,2,2,2,2,3,2,.a,.a,.a,.a,.a,.a,5,1,2,4,2,2,1,2,2,2,3,1,0,2,6,1,7,1,6288.5581,16/07/2020
6041,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,4,4,3,4,4,4,3,3,4,4,4,4,4,3,1,1,2,2,2,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,1,1,2,2,1,2,2,1,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,5,1,1,5,3,3,3,3,3,3,3,5,5,5,5,5,8,8,.a,.a,.a,.a,.a,.a,2,4,4,4,4,4,4,4,4,2,2,2,4,2,.a,.a,.a,.a,.a,.a,5,5,3,4,5,5,5,2,2,.d,1,2,0,4,6,3,2,4,62834.8839,16/07/2020
6042,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,2,3,3,2,3,2,3,1,1,2,4,3,4,1,2,1,2,2,2,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,1,1,2,2,1,2,2,1,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,6,1,1,4,2,1,1,2,1,2,2,5,5,5,5,5,8,8,.a,.a,.a,.a,.a,.a,2,3,2,3,.d,3,1,4,2,2,2,2,3,2,.a,.a,.a,.a,.a,.a,5,5,3,4,3,1,5,2,2,.d,1,1,0,2,6,1,6,4,1753.412,16/07/2020
6043,3,.a,1,2,2,2,2,2,2,2,1,.a,.a,.a,.a,.a,1,1,1,5,5,5,1,1,2,1,1,3,3,3,1,3,3,3,1,4,3,4,1,1,1,2,2,2,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,1,2,1,2,1,2,1,1,2,4,.a,.a,2,2,1,2,2,2,2,2,0,.a,1,5,3,1,1,1,1,1,1,5,5,5,5,5,3,3,.a,.a,.a,.a,.a,.a,1,1,1,1,1,1,1,4,4,1,1,1,1,2,.a,.a,.a,.a,.a,.a,5,5,4,4,4,1,1,1,2,4,1,1,0,4,4,1,6,3,1080.565,16/07/2020
6044,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,2,3,3,2,3,3,3,3,3,3,4,3,4,2,1,1,2,2,2,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,1,1,2,2,1,2,2,2,.a,.b,.a,.a,.a,.a,.a,.a,.a,.a,8,.b,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,8,8,.a,.a,.a,.a,.a,.a,2,2,1,2,2,3,1,2,3,2,2,2,2,2,.a,.a,.a,.a,.a,.a,5,5,2,4,4,1,5,2,2,.d,3,1,0,1,6,1,4,4,957.677,16/07/2020
6045,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,2,4,4,3,4,3,2,2,2,4,2,4,2,4,2,2,1,2,2,2,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,1,1,1,1,1,2,2,2,.a,1,.a,.a,.a,.a,.a,.a,.a,.a,8,1,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,5,8,2,1,2,2,2,2,3,4,4,4,4,4,4,4,4,2,4,2,4,2,.a,.a,.a,.a,.a,.a,5,5,4,.d,5,5,5,2,2,.d,3,1,0,1,7,1,2,4,7398.4037,16/07/2020
6046,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,2,3,3,2,3,2,1,1,1,2,4,2,4,2,1,1,1,2,2,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,1,1,2,2,1,2,2,3,.a,.a,2,1,2,1,1,2,2,2,5,.a,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,8,8,.a,.a,.a,.a,.a,.a,2,3,2,3,3,3,4,3,3,2,2,2,3,1,1,2,1,1,1,2,5,4,4,4,4,2,5,2,2,.d,3,1,0,1,7,2,4,4,8516.8996,16/07/2020
6047,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,2,1,1,2,1,1,2,2,2,.a,1,.a,.a,.a,.a,.a,.a,.a,.a,7,1,1,4,3,3,3,3,3,3,3,5,5,5,5,5,3,3,.a,.a,.a,.a,.a,.a,2,4,1,2,2,2,1,1,4,1,1,4,4,2,.a,.a,.a,.a,.a,.a,5,5,1,5,3,2,5,2,2,3,1,1,1,3,2,1,4,1,2644.9707,16/07/2020
6048,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,2,2,3,2,4,3,3,3,3,3,4,3,4,2,1,2,2,2,2,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,2,1,1,1,2,1,2,2,4,.a,.a,1,2,2,2,2,2,2,2,9,.a,1,5,3,3,3,3,2,3,3,5,5,5,5,5,8,8,.a,.a,.a,.a,.a,.a,2,2,2,3,3,3,1,4,3,2,4,4,4,2,.a,.a,.a,.a,.a,.a,2,5,2,3,5,1,1,1,1,.d,1,1,0,2,6,1,6,4,2068.8471,16/07/2020
6049,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,3,3,3,3,3,3,3,3,3,3,4,3,3,1,1,2,2,2,2,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,2,1,2,2,2,2,2,2,4,.a,.a,2,2,2,1,1,2,2,2,10,.a,1,2,3,1,1,1,1,1,1,5,5,5,5,5,3,3,.a,.a,.a,.a,.a,.a,1,1,1,1,1,1,1,3,3,1,1,1,1,2,.a,.a,.a,.a,.a,.a,5,5,1,5,5,1,5,2,2,3,1,1,0,3,4,1,6,1,2149.2542,16/07/2020
6050,3,.a,1,1,2,2,2,2,2,2,2,.a,.a,.a,.a,.a,2,5,2,5,5,2,5,2,3,3,1,4,1,3,3,3,3,4,3,4,3,4,2,2,2,2,2,1,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,2,2,1,2,2,2,2,2,2,2,.a,.b,.a,.a,.a,.a,.a,.a,.a,.a,6,.b,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,7,2,2,2,1,2,2,2,2,2,2,2,2,4,4,4,2,2,2,2,2,.a,.a,.a,.a,.a,.a,5,5,3,3,5,2,2,2,1,1,4,1,0,1,3,3,2,1,18101.6225,16/07/2020
6051,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,2,3,3,2,3,2,3,3,3,2,4,2,4,2,2,1,2,2,2,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,1,1,2,2,1,2,2,.b,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,9,.a,1,5,3,1,1,1,1,1,1,5,5,5,5,5,8,8,.a,.a,.a,.a,.a,.a,1,1,1,2,3,3,1,4,4,2,2,1,4,2,.a,.a,.a,.a,.a,.a,5,5,1,5,1,1,5,2,2,.d,1,1,0,2,5,1,2,4,1991.444,16/07/2020
6052,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,3,3,3,3,3,3,3,1,3,3,4,3,3,2,1,2,2,2,2,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,2,2,2,1,2,2,1,2,2,4,.a,.a,2,2,2,1,2,2,2,2,7,.a,1,4,3,1,3,3,2,2,1,5,5,5,5,5,8,8,.a,.a,.a,.a,.a,.a,2,2,1,2,2,2,1,2,3,2,2,4,4,2,.a,.a,.a,.a,.a,.a,5,5,2,1,4,4,2,1,1,.d,1,1,0,2,4,1,2,4,2650.7057,16/07/2020
6053,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,2,3,3,2,3,3,3,3,2,2,2,2,4,2,1,1,2,2,2,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,2,1,1,2,2,1,1,2,3,.a,.a,2,1,2,1,1,2,2,2,7,.a,1,5,3,3,1,3,3,1,2,3,3,3,1,5,3,3,.a,.a,.a,.a,.a,.a,3,3,2,3,3,3,1,3,3,3,2,2,3,1,2,1,2,2,2,2,3,5,5,4,3,5,5,2,2,3,1,1,1,2,3,1,4,1,9556.8959,16/07/2020
6054,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,2,2,2,2,3,3,3,3,2,2,4,3,4,2,1,2,2,2,2,4,2,2,1,2,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,4,.a,.a,2,1,2,1,2,2,2,2,9,.a,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,3,.a,.a,.a,.a,.a,.a,1,1,1,2,1,2,1,2,3,1,1,1,1,2,.a,.a,.a,.a,.a,.a,3,5,3,3,2,2,5,2,2,.d,3,1,1,1,3,3,4,4,2231.6929,16/07/2020
6055,3,.a,.b,1,1,1,1,1,1,1,2,.a,.a,.a,.a,.a,3,5,2,5,5,5,5,2,3,1,3,3,1,3,4,3,2,3,3,4,1,4,2,1,1,2,2,2,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,2,1,1,2,2,1,2,2,3,.a,.a,2,2,2,2,2,2,2,1,7,.a,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,8,2,2,2,2,2,1,3,1,1,2,2,2,4,4,4,2,4,1,3,2,.a,.a,.a,.a,.a,.a,5,5,2,5,5,1,5,2,1,4,4,1,0,1,4,3,2,2,3189.8581,16/07/2020
6056,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,1,4,3,3,3,3,3,.d,3,3,3,3,3,1,2,2,1,2,2,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,2,2,2,1,2,2,2,2,4,.a,.a,2,2,2,1,2,2,2,2,10,.a,1,3,3,2,2,1,2,2,1,5,5,5,5,5,3,3,.a,.a,.a,.a,.a,.a,1,1,2,1,3,2,1,4,2,1,1,4,4,2,.a,.a,.a,.a,.a,.a,5,5,3,3,1,1,1,2,1,.d,1,2,0,2,6,1,2,4,4359.2338,16/07/2020
6057,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,2,2,3,2,3,2,3,3,3,2,4,2,4,2,1,1,2,2,2,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,1,1,2,2,1,2,2,1,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,6,1,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,8,8,.a,.a,.a,.a,.a,.a,2,3,2,3,3,3,1,2,3,2,3,3,3,2,.a,.a,.a,.a,.a,.a,5,5,2,4,2,1,5,2,2,.d,4,1,0,1,6,1,4,4,932.6807,16/07/2020
6058,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,2,2,2,3,2,3,2,3,1,1,3,4,2,4,1,1,1,1,2,2,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,1,1,1,2,1,1,2,.b,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,8,.a,1,5,3,4,3,1,2,4,1,3,5,3,3,1,3,3,.a,.a,.a,.a,.a,.a,3,3,2,3,3,3,1,2,3,2,3,3,3,2,.a,.a,.a,.a,.a,.a,3,5,3,4,3,4,4,2,2,2,1,1,1,2,4,1,7,1,4872.047,16/07/2020
6059,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,2,1,3,2,2,2,1,2,2,2,2,2,2,3,1,1,2,2,2,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,2,1,1,2,2,1,2,2,4,.a,.a,2,1,2,1,2,2,2,2,10,.a,1,4,3,2,3,3,2,3,1,3,3,3,2,3,3,3,.a,.a,.a,.a,.a,.a,3,3,2,3,3,3,1,1,2,2,2,2,2,2,.a,.a,.a,.a,.a,.a,4,4,3,3,1,1,2,2,1,3,1,2,1,2,3,1,4,1,1533.0625,16/07/2020
6060,3,.a,.b,2,1,2,1,2,2,2,2,.a,.a,.a,.a,.a,3,3,2,5,5,5,2,5,3,2,3,3,2,3,3,3,3,3,2,4,3,4,2,2,1,1,2,2,4,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,2,2,2,3,.a,.a,2,2,2,2,2,2,2,1,10,.a,1,1,3,3,3,3,1,1,1,5,5,5,5,5,3,8,2,1,2,2,2,2,2,2,2,3,3,3,1,2,4,1,2,1,2,2,.a,.a,.a,.a,.a,.a,5,5,3,4,2,3,1,2,2,1,1,1,0,3,5,1,6,1,3998.4891,16/07/2020
6061,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,2,1,2,3,1,3,1,3,3,3,1,4,1,3,2,1,1,2,2,2,4,2,2,1,2,1,2,1,2,2,2,1,2,2,2,2,2,1,2,2,3,.a,.a,2,2,2,1,1,2,2,2,9,.a,1,5,3,1,2,2,2,1,3,5,5,5,5,5,8,8,.a,.a,.a,.a,.a,.a,2,2,2,3,3,2,1,2,2,1,2,2,3,2,.a,.a,.a,.a,.a,.a,5,3,1,1,2,1,1,2,1,.d,1,1,0,2,5,1,7,4,3504.2106,16/07/2020
6062,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,2,2,3,4,4,3,3,3,3,3,4,2,2,3,2,2,2,2,1,2,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,1,1,2,2,1,1,2,2,.a,2,.a,.a,.a,.a,.a,.a,.a,.a,6,2,1,4,3,3,3,3,3,3,3,3,3,3,3,3,5,5,.a,.a,.a,.a,.a,.a,3,3,3,3,3,3,3,3,3,3,3,3,3,2,.a,.a,.a,.a,.a,.a,3,3,2,2,3,3,5,2,1,3,1,2,1,3,4,4,6,1,29103.2157,16/07/2020
6063,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,2,2,3,2,2,2,3,1,3,2,4,2,3,2,1,2,1,2,2,3,2,2,1,2,2,2,1,2,2,2,1,1,1,2,2,1,1,2,2,2,.a,1,.a,.a,.a,.a,.a,.a,.a,.a,6,1,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,3,.a,.a,.a,.a,.a,.a,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,3,3,3,3,3,3,3,1,1,3,3,1,0,1,6,2,3,1,1130.4047,16/07/2020
6064,3,.a,1,1,1,2,1,2,2,2,2,.a,.a,.a,.a,.a,2,5,2,5,5,5,5,5,2,2,4,3,2,3,3,3,1,3,3,4,2,4,3,2,2,2,1,2,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,1,1,2,2,1,2,2,1,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,8,1,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,8,2,2,2,2,2,1,2,3,2,3,3,3,1,3,3,2,2,2,3,2,.a,.a,.a,.a,.a,.a,5,5,2,4,3,3,5,2,2,4,3,1,0,1,6,1,4,3,2012.4587,16/07/2020
6065,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,4,2,2,2,2,2,2,2,1,2,2,1,2,1,1,1,1,1,2,2,2,.a,1,.a,.a,.a,.a,.a,.a,.a,.a,6,1,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,7,2,1,2,2,2,2,2,2,2,3,3,3,1,2,2,1,1,1,2,2,.a,.a,.a,.a,.a,.a,5,5,2,3,1,1,1,1,2,2,4,1,0,1,3,1,5,1,5662.5252,16/07/2020
6066,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,4,4,4,4,.d,4,4,3,3,3,.d,.d,4,2,1,2,2,2,2,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,1,1,2,2,1,2,2,.b,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,5,.a,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,8,8,.a,.a,.a,.a,.a,.a,2,3,2,4,4,4,4,4,4,1,2,2,4,2,.a,.a,.a,.a,.a,.a,5,5,4,5,5,5,5,2,2,.d,3,1,0,1,7,2,4,4,14701.6408,16/07/2020
6067,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,2,3,3,2,3,2,3,2,3,3,4,3,4,2,2,1,2,2,2,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,2,2,1,2,2,1,2,2,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,7,.d,1,4,3,3,2,3,2,1,1,5,5,5,5,5,8,8,.a,.a,.a,.a,.a,.a,2,2,2,2,3,3,1,2,2,1,2,2,2,2,.a,.a,.a,.a,.a,.a,5,2,1,3,1,2,3,2,1,.d,1,1,0,2,6,2,2,4,8002.8724,16/07/2020
6068,3,.a,.b,2,2,2,2,2,2,2,1,.a,.a,.a,.a,.a,2,2,3,1,1,2,2,2,3,2,3,3,2,3,3,3,3,3,3,4,3,4,1,1,2,2,2,2,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,1,1,1,2,1,2,2,1,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,9,1,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,5,7,2,1,2,1,2,2,2,3,2,3,3,3,4,4,4,2,2,2,3,2,.a,.a,.a,.a,.a,.a,5,5,2,4,2,2,1,2,1,1,4,1,0,2,3,1,5,1,32146.299,16/07/2020
6069,3,.a,2,2,1,1,1,2,2,1,2,1,2,2,2,2,4,5,2,5,5,5,3,4,3,3,4,3,3,3,3,1,2,3,3,4,4,4,2,2,2,1,2,2,1,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1,1,1,1,1,1,1,2,2,4,.a,.a,2,2,2,2,2,2,1,2,6,.a,2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,3,7,2,1,2,2,2,2,1,1,1,1,1,3,1,4,2,3,3,2,4,2,.a,.a,.a,.a,.a,.a,5,5,5,5,5,4,4,2,2,1,3,1,0,1,5,2,2,1,5067.6003,16/07/2020
